Algoritmo,Tamano_Matriz,Num_Hilos,Repeticion,Tiempo_usec
mmClasicaPosix,100,1,1,9854
mmClasicaPosix,100,1,2,9763
mmClasicaPosix,100,1,3,9059
mmClasicaPosix,100,1,4,7980
mmClasicaPosix,100,1,5,11218
mmClasicaPosix,100,1,6,14367
mmClasicaPosix,100,1,7,6050
mmClasicaPosix,100,1,8,5454
mmClasicaPosix,100,1,9,5939
mmClasicaPosix,100,1,10,9614
mmClasicaPosix,100,1,11,8557
mmClasicaPosix,100,1,12,7815
mmClasicaPosix,100,1,13,9933
mmClasicaPosix,100,1,14,6960
mmClasicaPosix,100,1,15,7097
mmClasicaPosix,100,1,16,6404
mmClasicaPosix,100,1,17,7827
mmClasicaPosix,100,1,18,8534
mmClasicaPosix,100,1,19,5897
mmClasicaPosix,100,1,20,12611
mmClasicaPosix,100,1,21,7431
mmClasicaPosix,100,1,22,12190
mmClasicaPosix,100,1,23,6884
mmClasicaPosix,100,1,24,9219
mmClasicaPosix,100,1,25,8242
mmClasicaPosix,100,1,26,10427
mmClasicaPosix,100,1,27,8539
mmClasicaPosix,100,1,28,10205
mmClasicaPosix,100,1,29,8057
mmClasicaPosix,100,1,30,6239
mmClasicaPosix,100,2,1,9297
mmClasicaPosix,100,2,2,8712
mmClasicaPosix,100,2,3,7029
mmClasicaPosix,100,2,4,8204
mmClasicaPosix,100,2,5,5417
mmClasicaPosix,100,2,6,2771
mmClasicaPosix,100,2,7,4216
mmClasicaPosix,100,2,8,3363
mmClasicaPosix,100,2,9,5014
mmClasicaPosix,100,2,10,4063
mmClasicaPosix,100,2,11,4198
mmClasicaPosix,100,2,12,4681
mmClasicaPosix,100,2,13,5138
mmClasicaPosix,100,2,14,5760
mmClasicaPosix,100,2,15,4157
mmClasicaPosix,100,2,16,8069
mmClasicaPosix,100,2,17,3792
mmClasicaPosix,100,2,18,4491
mmClasicaPosix,100,2,19,3920
mmClasicaPosix,100,2,20,4148
mmClasicaPosix,100,2,21,3092
mmClasicaPosix,100,2,22,5625
mmClasicaPosix,100,2,23,7457
mmClasicaPosix,100,2,24,7137
